"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ASV"
"ASV75",33.889970507908,0.805184729638448,1.18637590846195,0.67869275150935,0.497332559878903,1,"ASV75"
"ASV76",34.0522764098739,0.151510362148341,1.17926686858905,0.128478435360113,0.897770362870564,1,"ASV76"
"ASV77",33.7794042937296,0.983792858375917,1.21193345930451,0.811754845798613,0.416932316525471,1,"ASV77"
"ASV78",34.9063882517908,0.230563762296998,1.15633248557788,0.199392272700679,0.841955904619315,1,"ASV78"
"ASV81",32.9798755709802,0.157215457738916,2.16896913552356,0.0724839533970439,0.942216775210197,1,"ASV81"
"ASV82",40.1326303620547,-1.22834652677065,1.2547684669296,-0.97894277641228,0.327608254628725,1,"ASV82"
"ASV83",35.3779864252225,-0.325860939260614,1.16857731367233,-0.278852700157746,0.780357868970484,1,"ASV83"
"ASV84",45.5631554258644,-9.57529677559818,3.34661265693795,-2.86119062979917,0.00422053193029106,1,"ASV84"
"ASV85",38.4375444159553,-3.14954120485972,2.75706507100531,-1.14235287298145,0.253307371953012,1,"ASV85"
"ASV87",33.6369116155654,-1.74071285622612,2.18791521291083,-0.795603433786751,0.426262570124246,1,"ASV87"
"ASV88",33.0685531881573,-0.692712880598931,1.20013284238001,-0.577196836997806,0.563806493529424,1,"ASV88"
"ASV89",31.1782867597381,-0.341678641817261,1.79082445335039,-0.190794045266707,0.848686954176641,1,"ASV89"
"ASV91",31.0375798695666,-0.0665814237178478,1.14534484259906,-0.0581322072108509,0.953643320118494,1,"ASV91"
"ASV92",31.9372675945029,-0.12703234988573,1.15580666034776,-0.109907958003554,0.912482371208748,1,"ASV92"
"ASV93",29.4785724093694,0.372786168145856,1.25945422355827,0.295990248135135,0.767237528763781,1,"ASV93"
"ASV94",28.3235655633806,0.817116912984571,1.38167111657102,0.591397549810885,0.554254081703379,1,"ASV94"
"ASV100",34.1241817416722,-1.94324457774688,1.60861763173074,-1.20802143369279,0.227039017999421,1,"ASV100"
"ASV102",25.5813055371241,1.28003209248581,1.71604046308784,0.74592185908165,0.455714619745887,1,"ASV102"
"ASV103",26.3387697682096,0.878698304003293,1.33770521060679,0.656869912022477,0.511264566163557,1,"ASV103"
"ASV104",25.1592068058043,0.93533635103314,1.36104780286563,0.687217854555755,0.491945454693673,1,"ASV104"
"ASV105",33.2409089844864,-1.94900130409379,2.16825107850459,-0.898881740871999,0.368715654655414,1,"ASV105"
"ASV106",28.8504407885223,0.355101761077682,1.21533353298949,0.292184615530355,0.770145473690625,1,"ASV106"
"ASV108",28.4610116890556,-2.31388431385676,1.57270919058346,-1.47127283779548,0.141217345929024,1,"ASV108"
"ASV110",27.034446242519,-0.044935474219114,1.39474818670433,-0.0322176251222041,0.974298500660031,1,"ASV110"
"ASV112",24.7318227287947,0.628280181774547,1.34124040857341,0.468432189903082,0.639475552843803,1,"ASV112"
"ASV114",25.9273687757268,-0.164477969452962,1.15666761740405,-0.142199856707415,0.886922144970772,1,"ASV114"
"ASV115",24.8120160417763,0.111156705876753,1.36888104350888,0.0812026044219467,0.935280828329246,1,"ASV115"
"ASV116",27.2404646244895,-0.0580055308171144,1.7962938655,-0.0322917825035094,0.974239362401149,1,"ASV116"
"ASV117",26.7725845548289,-2.32675300187935,1.91558924919713,-1.21464087504905,NA,NA,"ASV117"
"ASV118",29.4786299185189,5.19003161420236,2.9077469510918,1.78489796447164,NA,NA,"ASV118"
"ASV120",25.3086283106118,-2.0342729738322,2.31685678117851,-0.878031387333931,0.379926685638716,1,"ASV120"
"ASV122",23.3841238878428,0.277596473743262,1.15250636087748,0.240863289927449,0.80966107497456,1,"ASV122"
"ASV123",22.7486690335216,0.634613083642767,1.56276108783029,0.406084518346853,0.684680500653547,1,"ASV123"
"ASV124",24.0465117752374,-0.203361129652729,1.59153820216588,-0.127776467681379,0.898325873457073,1,"ASV124"
"ASV125",22.5535136970424,0.207508929969447,1.55000367730176,0.133876411397086,0.893500303329016,1,"ASV125"
"ASV126",22.895192749924,0.144410895916746,1.1793647871955,0.122448030910056,0.902544201502943,1,"ASV126"
"ASV127",21.9316454320428,0.757531628878945,1.21831775884174,0.621784935318627,0.534083293408294,1,"ASV127"
